1,3,4,5,6,7
Toni Collette,Annie,,,,
Milly Shapiro,Charlie,,,,
Christy Summerhays,Charlie's Teacher,,,,
Morgan Lund,Mr. Davies,,,,
Mallory Bechtel,Bridget,,,,
Jake Brown,Brendan,,,,
Harrison Nell,Student #1,,,,
BriAnn Rachele,Student #2 (as Briann Rachele),,,,
Heidi Méndez,Spanish Speaking Woman (as Heidi Mendez),,,,
Moises L. Tovar,Translator (as Moises Tovar),,,,
Jarrod Phillips,Group Leader,,,,
Ann Dowd,Joan,,,,
Brock McKinney,Aaron,,,,
Gerard Butler,'Big Nick' O'Brien,,,,
Pablo Schreiber,Ray Merrimen,,,,
O'Shea Jackson Jr.,Donnie Wilson,,,,
50 Cent,Enson Levoux (as Curtis '50 Cent' Jackson),,,,
Meadow Williams,Holly,,,,
Maurice Compte,Benny 'Borracho' Magalon,,,,
Brian Van Holt,Murph Connors,,,,
Evan Jones,Bo 'Bosco' Ostroman,,,,
Mo McRae,Gus Henderson,,,,
Kaiwi Lyman,'Tony Z' Zapata,,,,
Dawn Olivieri,Debbie O'Brien,,,,
Eric Braeden,Ziggy Zerhusen,,,,
Jordan Bridges,Lobbin' Bob,,,,
Lewis Tan,Secret Service Lobby Guard #1,,,,
Cooper Andrews,Mack,,,,
Jiayin Lei,Lu Ming,,,,
Liya Tong,Gu Xiaojiao,,,,
Rest of cast listed alphabetically:,Rest of cast listed alphabetically:,,,,
Ming Fan,Potato farmer,,,,
Guangjie Li,Xiao Ya's husand,,,,
Nian Li,Xiao Ya,,,,
Hong Tao,Shop manager,,,,
Zheng Xu,,,,,
Di Yang,Bar waiter,,,,
Le Yang,Intermediary agent Xiao Ma,,,,
Hewei Yu,Ph. D.,,,,
Hera Hilmar,Hester Shaw,,,,
Robert Sheehan,Tom Natsworthy,,,,
Hugo Weaving,Thaddeus Valentine,,,,
Jihae,Anna Fang (as Jihae Kim),,,,
Ronan Raftery,Bevis Pod,,,,
Leila George,Katherine Valentine,,,,
Patrick Malahide,Magnus Crome,,,,
Stephen Lang,Shrike,,,,
Colin Salmon,Chudleigh Pomeroy,,,,
Mark Mitchinson,Vambrace,,,,
Regé-Jean Page,Captain Khora,,,,
Menik Gooneratne,Sathya,,,,
Frankie Adams,Yasmina Rashid,,,,
Leifur Sigurdarson,Nils Lindstrom,,,,
Kahn West,Toa Heke,,,,
Kelly Asbury,Goons (voice),,,,
Mary J. Blige,Irene (voice),,,,
Emily Blunt,Juliet (voice),,,,
Julio Bonet,Mankini (voice),,,,
Gary Bradbury,Barry the Toilet Gnome (voice),,,,
Michael Caine,Lord Redbrick (voice),,,,
Gang Chi,Video Game Player (voice),,,,
Rosalie Craig,Nimrod Captain (voice),,,,
Jamie Demetriou,Moriarty (voice),,,,
Johnny Depp,Sherlock Gnomes (voice),,,,
Chiwetel Ejiofor,Dr. Watson (voice),,,,
Dexter Fletcher,Gargoyle Reggie (voice),,,,
Steve Hamilton Shaw,Steve Gnome (voice),,,,
Leyla Hobart,Policewoman (voice),,,,
James Hong,Salt Shaker (voice),,,,
Alec Baldwin,Dr. Kennebrew Beauregard,,,,
John David Washington,Ron Stallworth,,,,
Isiah Whitlock Jr.,Mr. Turrentine,,,,
Robert John Burke,Chief Bridges,,,,
Brian Tarantina,Officer Clay Mulaney,,,,
Arthur J. Nascarella,Officer Wheaton (as Arthur Nascarella),,,,
Ken Garito,Sergeant Trapp,,,,
Frederick Weller,Master Patrolman Andy Landers,,,,
Adam Driver,Flip Zimmerman,,,,
Michael Buscemi,Jimmy Creek (as Michael Joseph Buscemi),,,,
Laura Harrier,Patrice Dumas,,,,
Damaris Lewis,Odetta,,,,
Ato Blankson-Wood,Hakeem,,,,
Corey Hawkins,Kwame Ture,,,,
Dared Wright,Officer Cincer,,,,
Wendi McLendon-Covey,Kathy,,,,
Madison Iseman,Sarah,,,,
Jeremy Ray Taylor,Sonny,,,,
Caleel Harris,Sam,,,,
Ken Jeong,Mr. Chu,,,,
Chris Parnell,Walter,,,,
Bryce Cass,Tyler,,,,
Peyton Wich,Tommy Madigan,,,,
Shari Headley,Mrs. Carter,,,,
Christian Finlayson,Cooper,,,,
Matthew J. Vasquez,Derek (as Matthew Jose Vasquez),,,,
Courtney Lauren Cummings,Tyler's Crew (as Courtney Cummings),,,,
Jessi Goei,Tyler's Crew,,,,
Drew Scheid,Tyler's Crew,,,,
Tyler Silva,Tyler's Crew,,,,
Leslie Mann,Lisa,,,,
John Cena,Mitchell,,,,
Ike Barinholtz,Hunter,,,,
Kathryn Newton,Julie,,,,
Geraldine Viswanathan,Kayla,,,,
Gideon Adlon,Sam,,,,
Ramona Young,Angelica,,,,
Graham Phillips,Austin,,,,
Miles Robbins,Connor,,,,
Jimmy Bellinger,Chad,,,,
Colton Dunn,Rudy,,,,
Sarayu Blue,Marcie,,,,
Gary Cole,Ron,,,,
Gina Gershon,Cathy,,,,
June Diane Raphael,Brenda,,,,
Amy Schumer,Renee Bennett,,,,
Michelle Williams,Avery LeClaire,,,,
Tom Hopper,Grant Leclair,,,,
Rory Scovel,Ethan,,,,
Adrian Martinez,Mason,,,,
Emily Ratajkowski,Mallory,,,,
Aidy Bryant,Vivian,,,,
Busy Philipps,Jane,,,,
Lauren Hutton,Lilly Leclair,,,,
Sasheer Zamata,Tasha,,,,
Angela Davis,Luna,,,,
Caroline Day,Jenn,,,,
Anastagia Pierre,Claire,,,,
Gia Crovatin,Sasha,,,,
Olivia Culpo,Hope,,,,
Lucy Hale,Olivia Barron,,,,
Tyler Posey,Lucas Moreno,,,,
